%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1718110627137593841,0.0,0.0,0.0,0.0,0.0,0.0
1718110627187930119,0.0,0.0,0.0,0.0,0.0,0.0
1718110627236259873,0.0,0.0,0.0,0.0,0.0,0.0
1718110627289098268,0.0,0.0,0.0,0.0,0.0,0.0
1718110627332549332,0.0,0.0,0.0,0.0,0.0,0.0
1718110627388951988,0.0,0.0,0.0,0.0,0.0,0.0
1718110627442576036,0.0,0.0,0.0,0.0,0.0,0.0
1718110627489856250,0.0,0.0,0.0,0.0,0.0,0.0
1718110627540747999,0.0,0.0,0.0,0.0,0.0,0.0
1718110627591391684,0.0,0.0,0.0,0.0,0.0,0.0
1718110627639279584,0.0,0.0,0.0,0.0,0.0,0.0
1718110627691333809,0.0,0.0,0.0,0.0,0.0,0.0
1718110627739852580,0.0,0.0,0.0,0.0,0.0,0.0
1718110627790882961,0.0,0.0,0.0,0.0,0.0,0.0
1718110627833688887,0.0,0.0,0.0,0.0,0.0,0.0
1718110627886147075,0.0,0.0,0.0,0.0,0.0,0.0
1718110627936974234,0.0,0.0,0.0,0.0,0.0,0.0
1718110627986538786,0.0,0.0,0.0,0.0,0.0,0.0
1718110628036645947,0.0,0.0,0.0,0.0,0.0,0.0
1718110628086631090,0.0,0.0,0.0,0.0,0.0,0.0
1718110628134358431,0.0,0.0,0.0,0.0,0.0,0.0
1718110628187699808,0.0,0.0,0.0,0.0,0.0,0.0
1718110628232842127,0.0,0.0,0.0,0.0,0.0,0.0
1718110628286507856,0.0,0.0,0.0,0.0,0.0,0.0
1718110628334156845,0.0,0.0,0.0,0.0,0.0,0.0
